Verification Type,Check Slug,Check Name,Category,Lifecycle stage,Reason Slug,Reason Text,Status
id,id_extracted_properties_detection,Extracted properties,user_action_required,production,no_required_properties,The template is not configured to require extraction of certain properties.,not_applicable
id,id_extracted_properties_detection,Extracted properties,user_action_required,production,property_not_extracted,Required ID field(s) were not extracted.,failed
id,id_extracted_properties_detection,Extracted properties,user_action_required,production,name_partially_extracted,"First name and last name were required, but only one was extracted.",failed
id,id_extracted_properties_detection,Extracted properties,user_action_required,production,required_properties_absent_on_id,The missing required properties are not present on the ID.,passed
id,id_extraction_inconsistency_detection,Extraction inconsistency,fraud,production,back_missing,Unsuccessful detection of the back of the ID.,not_applicable
id,id_extraction_inconsistency_detection,Extraction inconsistency,fraud,production,missing_properties,Barcode is missing properties to compare.,not_applicable
id,id_extraction_inconsistency_detection,Extraction inconsistency,fraud,production,property_mismatch,Details extracted from the front of the ID are different than the details extracted from the barcode.,failed
id,id_extraction_inconsistency_detection,Extraction inconsistency,fraud,production,unsupported_country,This check is not currently supported for this country.,not_applicable
id,id_fabrication_detection,Fabrication,fraud,production,camouflage_passport,The submitted ID is issued by an unrecognized or invalid government entity.,failed
id,id_fabrication_detection,Fabrication,fraud,production,fabricated_id_version,The submitted ID does not match a known in-circulation format of that ID type.,passed
id,id_glare_detection,Glare,user_action_required,beta,too_much_glare,The submission has glare.,failed
id,id_handwriting_detection,Handwriting,fraud,sunset,handwriting_found,The ID appears to have handwriting on it.,failed
id,id_inconsistent_repeat_detection,Inconsistent repeat,fraud,production,inconsistent_details,The face portrait matches that of a previously submitted ID with different text attributes.,failed
id,id_inconsistent_repeat_detection,Inconsistent repeat,fraud,production,inconsistent_face,The ID text attributes match that of a previously submitted ID with a different face portrait.,failed
id,id_inconsistent_repeat_detection,Inconsistent repeat,fraud,production,low_quality_portrait,Portrait quality is too low for comparison.,not_applicable
id,id_inconsistent_repeat_detection,Inconsistent repeat,fraud,production,no_portrait,The face portrait is missing.,not_applicable
id,id_inconsistent_repeat_detection,Inconsistent repeat,fraud,production,not_enabled,Inconsistent repeat is not enabled.,not_applicable
id,id_inquiry_comparison,Inquiry comparison,fraud,production,missing_properties,Inquiry details like name or birthdate are missing.,not_applicable
id,id_inquiry_comparison,Inquiry comparison,fraud,production,names_swapped,The claimed first name matches the extracted last name and vice versa.,failed
id,id_inquiry_comparison,Inquiry comparison,fraud,production,no_inquiry,No associated inquiry.,not_applicable
id,id_inquiry_comparison,Inquiry comparison,fraud,production,property_conflict,ID details like name or birthdate are inconsistent between different submission attempts. *Name on Order does not match the name on the Government ID. See name extracted from ID above.,failed
id,id_inquiry_comparison,Inquiry comparison,fraud,production,unsupported_comparison_language,Comparison attributes include characters from an unsupported language.,not_applicable
id,id_mrz_detection,MRZ Detected,user_action_required,production,mrz_incomplete,"The full area of the encoded, machine-readable text on the ID was not detected.",failed
id,id_mrz_detection,MRZ Detected,user_action_required,production,mrz_not_found,"The encoded, machine-readable text on the ID is not found.",failed
id,id_mrz_inconsistency_detection,MRZ Inconsistency,fraud,production,mrz_checksum_invalid,"The encoded, machine-readable text on the ID has invalid checksum(s).",failed
id,id_mrz_inconsistency_detection,MRZ Inconsistency,fraud,production,mrz_not_found,"The encoded, machine-readable text on the ID is not found.",not_applicable
id,id_mrz_inconsistency_detection,MRZ Inconsistency,fraud,production,mrz_not_verifiable,"The encoded, machine-readable text on the ID is present but not verifiable (e.g. because it may be partially obscured).",not_applicable
id,id_number_format_inconsistency_detection,ID number format inconsistency,fraud,production,incorrect_format,The ID number has an invalid format.,failed
id,id_number_format_inconsistency_detection,ID number format inconsistency,fraud,production,invalid_checksum,The ID number has an invalid checksum.,failed
id,id_number_format_inconsistency_detection,ID number format inconsistency,fraud,production,invalid_encoded_data,Data encoded in the ID number does not match data extracted from the ID.,failed
id,id_number_format_inconsistency_detection,ID number format inconsistency,fraud,production,unsupported_country,This check is not currently supported for this country.,not_applicable
id,id_paper_detection,Paper detection,fraud,beta,paper_id_detected,The submitted ID is printed on a piece of paper.,failed
id,id_paper_detection,Paper detection,fraud,beta,expected_paper_id_type,The submitted ID type matches a known paper ID type.,not_applicable
id,id_physical_tamper_detection,ID physical tampering,fraud,beta,tamper_detected,The submission appears to have been tampered physically.,passed
id,id_po_box_detection,PO box,user_action_required,production,address_is_hc_box,The address is a HC box.,passed
id,id_po_box_detection,PO box,user_action_required,production,address_is_po_box,The address is a PO box.,failed
id,id_po_box_detection,PO box,user_action_required,production,missing_address,No address was submitted.,not_applicable
id,id_portrait_clarity_detection,Portrait clarity,user_action_required,production,portrait_not_clear,The face portrait is unclear and out of focus.,failed
id,id_portrait_detection,Portrait,user_action_required,production,portrait_not_found,The submission has no face portrait.,failed
id,id_public_figure_detection,Public figure,fraud,production,public_figure_detected,The face portrait appears to match that of a known public figure.,failed
id,id_public_figure_detection,Public figure,fraud,production,low_quality_portrait,Portrait quality is too low for comparison.,not_applicable
id,id_public_figure_detection,Public figure,fraud,production,missing_face,The ID has no face.,not_applicable
id,id_real_id_detection,REAL ID,user_action_required,production,federal_limits_apply,ID does not meet federal guidelines for REAL Enhanced IDs.,failed
id,id_real_id_detection,REAL ID,user_action_required,production,federal_limits_undetected,ID's compliance type could not be detected.,failed
id,id_real_id_detection,REAL ID,user_action_required,production,invalid_barcode,Barcode on ID could not be read.,not_applicable
id,id_real_id_detection,REAL ID,user_action_required,production,invalid_country,REAL ID is not available for the given country.,not_applicable
id,id_real_id_detection,REAL ID,user_action_required,production,invalid_id_type,ID type is not supported by REAL ID.,not_applicable
id,id_real_id_detection,REAL ID,user_action_required,production,no_barcode,ID's barcode was not provided.,not_applicable
id,id_repeat_detection,Repeat,fraud,production,not_enabled,ID repeat detection is not enabled.,not_applicable
id,id_repeat_detection,Repeat,fraud,production,repeat,The ID details and face portrait match that of a previously submitted ID on a different account.,failed
id,id_repeat_detection,Repeat,fraud,production,details_only_repeat,The ID details match that of a previously submitted ID on a different account.,failed
id,id_selfie_comparison,ID-to-Selfie comparison,fraud,production,face_mismatch,The face portrait on the ID and the selfie appear to be different faces.,failed
id,id_selfie_comparison,ID-to-Selfie comparison,fraud,production,no_selfie,The submission has no selfie.,not_applicable
id,id_tamper_detection,ID image tampering,fraud,production,exif_inconsistency,The submission has inconsistencies in the file metadata.,failed
id,id_tamper_detection,ID image tampering,fraud,production,image_manipulated,The submission appears to have been tampered by an editor.,failed
id,id_tamper_detection,ID image tampering,fraud,production,portrait_tampering,The submission appears to have a tampered portrait.,passed
id,id_unprocessable_submission_detection,Processable submission,user_action_required,production,age_below_limit,The age detected in the portrait is below the processable age limit.,failed
id,id_unprocessable_submission_detection,Processable submission,user_action_required,production,submission_invalid,The submission is unprocessable.,failed
id,id_valid_dates_detection,Valid dates,fraud,production,issuer_rules_inconsistency,The dates on the ID appear to be in violation of issuing authority rules.,failed
id,id_valid_dates_detection,Valid dates,fraud,production,unknown_date_rules,"The ID is temporary or limited-term, so the valid date rules are unknown",not_applicable
id,id_video_quality_detection,Video quality,user_action_required,beta,corrupt,The video is corrupt.,failed
id,id_video_quality_detection,Video quality,user_action_required,beta,low_bit_rate,The bit rate is too low.,failed
id,id_video_quality_detection,Video quality,user_action_required,beta,low_frame_rate,The frame rate is too low.,failed
id,id_video_quality_detection,Video quality,user_action_required,beta,not_found,There was no video uploaded.,failed
id,id_video_quality_detection,Video quality,user_action_required,beta,duration_too_short,The duration of the video was too short.,failed
selfie,selfie_account_comparison,Account comparison,fraud,production,face_mismatch,The selfie is inconsistent with the portrait on the account.,failed
selfie,selfie_account_comparison,Account comparison,fraud,production,missing_face,The selfie has no face.,not_applicable
selfie,selfie_account_comparison,Account comparison,fraud,production,no_account_selfie_present,The account has no selfie.,not_applicable
selfie,selfie_age_comparison,Age comparison,fraud,production,age_above_limit,The age range detected in the selfie is above the age limit.,failed
selfie,selfie_age_comparison,Age comparison,fraud,production,age_below_limit,The age range detected in the selfie is below the age limit.,failed
selfie,selfie_age_comparison,Age comparison,fraud,production,age_mismatch,The reference age falls outside of the age range detected in the selfie.,failed
selfie,selfie_age_comparison,Age comparison,fraud,production,no_reference_birthdate,No reference birthdate was provided.,not_applicable
selfie,selfie_age_comparison,Age comparison,fraud,production,no_selfie_age,No perceived age was available from the selfie.,not_applicable
selfie,selfie_age_comparison,Age comparison,fraud,production,no_selfie_age_estimation,No perceived age estimation was available from the selfie.,not_applicable
selfie,selfie_age_inconsistency_detection,Age inconsistency detection,fraud,alpha,inconsistent_age,The reference age and perceived selfie age estimation are inconsistent.,failed
selfie,selfie_age_inconsistency_detection,Age inconsistency detection,fraud,alpha,inconsistent_age_adult_as_minor,"The reference age indicates a minor, but the selfie age estimation indicates an adult.",failed
selfie,selfie_age_inconsistency_detection,Age inconsistency detection,fraud,alpha,inconsistent_age_minor_as_adult,"The reference age indicates an adult, but the selfie age estimation indicates a minor.",failed
selfie,selfie_age_inconsistency_detection,Age inconsistency detection,fraud,alpha,no_reference_age,No reference age was provided.,not_applicable
selfie,selfie_age_inconsistency_detection,Age inconsistency detection,fraud,alpha,no_selfie_age_prediction,No perceived age prediction was available from the selfie.,not_applicable
selfie,selfie_age_threshold_comparison,Age threshold comparison,fraud,production,age_outside_limits,The age range detected in the selfie falls outside of configured age limits.,failed
selfie,selfie_age_threshold_comparison,Age threshold comparison,fraud,production,no_age_limits,No min or max age limit was configured.,not_applicable
selfie,selfie_age_threshold_comparison,Age threshold comparison,fraud,production,no_selfie_age_prediction,No perceived age prediction was available from the selfie.,failed
selfie,selfie_attribute_comparison,Attribute comparison,fraud,production,face_mismatch,The selfie is inconsistent with the provided selfies.,failed
selfie,selfie_attribute_comparison,Attribute comparison,fraud,production,no_comparison_inputs,No selfies were provided for comparison.,not_applicable
selfie,selfie_attribute_comparison,Attribute comparison,fraud,production,no_selfie,The submission has no selfie.,not_applicable
selfie,selfie_custom_detection,Custom detection,fraud,beta,matched,Detected a match based on configuration,failed
selfie,selfie_custom_detection,Custom detection,fraud,beta,not_enabled,The verification check is not enabled.,not_applicable
selfie,selfie_experimental_model_detection,Experimental,fraud,alpha,match_detected,A configured match was detected.,failed
selfie,selfie_experimental_model_detection,Experimental,fraud,alpha,not_enabled,The verification check is not enabled.,not_applicable
selfie,selfie_face_covering_detection,Face covering,user_action_required,production,face_covering_detected,The selfie contains a person with a PPE face covering.,failed
selfie,selfie_glare_detection,Glare,user_action_required,sunset,too_much_glare,The submission has glare.,failed
selfie,selfie_glasses_detection,Glasses,user_action_required,production,glasses,Glasses are detected and may interfere with selfie face detection.,failed
selfie,selfie_glasses_detection,Glasses,user_action_required,production,sunglasses,Sunglasses are detected and may interfere with selfie face detection.,failed
